Date,Open,High,Low,Close,Volume
2013-05-20,30.16,30.39,30.02,30.17,1478200
2013-05-17,29.77,30.26,29.77,30.26,2481400
2013-05-16,29.78,29.94,29.55,29.67,1077000
2013-05-15,29.63,29.99,29.63,29.98,928700
2013-05-14,29.53,29.77,29.48,29.60,1065900
